,ID,context,answer,references
26,27,"providing enormous insight into the differences in physical, cognitive, and social capacities that exist between very young children and adults. For instance, research by JeanPiaget(Figure 1.12) demonstrated that very young children do not demonstrate object permanence. Object permanence refers to the understanding that physical things continue to exist, even if they are hidden from us. If you were to show an adult a toy, and then hide it behind a curtain, the adult knows that the toy still exists. However, very young infants act as if a hidden object no longer exists. The age at which object permanence is achieved is somewhat controversial (Munakata, McClelland, Johnson, and Siegler, 1997).","Object permanence refers to the understanding that physical things continue to exist, even if they are hidden from us. It is something that is typically achieved by very young children.","{'page': 14, 'sections': 'contemporary psychology'}"
27,28,"3.2 • Cells of the Nervous System 83 Neurotransmitters and Drugs There are several different types ofneurotransmittersreleased by different neurons, and we can speak in broad terms about the kinds of functions associated with different neurotransmitters (Table 3.1). Much of what psychologists know about the functions of neurotransmitters comes from research on the effects of drugs in psychological disorders. Psychologists who take abiological perspectiveand focus on the physiological causes of behavior assert that psychological disorders like depression and schizophrenia are associated with imbalances in one or more neurotransmitter systems. In this perspective, psychotropic medications can help improve the symptoms associated with these disorders.Psychotropic medicationsare drugs that","The role of neurotransmitters in psychology is that they are released by different neurons and are associated with different functions, much of what psychologists know about the functions of neurotransmitters comes from research on the effects of drugs in psychological disorders. Psychologists who take a biological perspective and focus on the physiological causes of behavior assert that psychological disorders like depression and schizophrenia are associated with imbalances in one or more neurotransmitter systems. In this perspective, psychotropic medications can help improve the symptoms associated with these disorders.","{'page': 76, 'sections': 'cells of the nervous system'}"
28,29,"and behavior, and many have proposed that five trait dimensions are sufficient to capture the variations in personality seen across individuals. These five dimensions are known as the “Big Five” or theFive Factor model, and include dimensions of conscientiousness, agreeableness, neuroticism, openness, and extraversion (Figure 1.13). Each of these traits has been demonstrated to be relatively stable over the lifespan (e.g., Rantanen, Metsäpelto, Feldt, Pulkinnen, and Kokko, 2007; Soldz & Vaillant, 1999; McCrae & Costa, 2008) and is influenced by genetics (e.g., Jang, Livesly, and Vernon, 1996). Access for free at openstax.org","The Big Five personality trait model is a theory that proposes that five trait dimensions are sufficient to capture the variations in personality seen across individuals. These five dimensions are known as the “Big Five” and include dimensions of conscientiousness, agreeableness, neuroticism, openness, and extraversion. Each of these traits has been demonstrated to be relatively stable over the lifespan and is influenced by genetics.","{'page': 15, 'sections': 'stages of development'}"
29,30,"538 15 • Psychological Disorders 15.1What Are Psychological Disorders? LEARNING OBJECTIVES By the end of this section, you will be able to: • Understand the problems inherent in defining the concept of psychological disorder • Describe what is meant by harmful dysfunction • Identify the formal criteria that thoughts, feelings, and behaviors must meet to be considered abnormal and, thus, symptomatic of a psychological disorder According to the American Psychiatric Association, apsychological disorder, or mental disorder, is “a syndrome characterized by clinically significant disturbance in an individual's cognition, emotion regulation, or behavior that reflects a dysfunction in the psychological, biological, or developmental processes underlying mental functioning. Mental disorders are","According to the American Psychiatric Association, a psychological disorder, or mental disorder, is “a syndrome characterized by clinically significant disturbance in an individual's cognition, emotion regulation, or behavior that reflects a dysfunction in the psychological, biological, or developmental processes underlying mental functioning. Mental disorders are generally considered to be harmful dysfunctions that impair an individual's ability to function effectively in everyday life.","{'page': 531, 'sections': 'learning'}"
30,31,"Disorders The diagnosis and classification of psychological disorders is essential in studying and treating psychopathology. The classification system used by most U.S. professionals is the DSM-5. The first edition of the DSM was published in 1952, and has undergone numerous revisions. The 5th and most recent edition, the DSM-5, was published in 2013. The diagnostic manual includes a total of 237 specific diagnosable disorders, each described in detail, including its symptoms, prevalence, risk factors, and comorbidity. Over time, the number of diagnosable conditions listed in the DSM has grown steadily, prompting criticism from some. Nevertheless, the diagnostic criteria in the DSM are more explicit than that of any other system, which makes the DSM system highly desirable for both","The DSM-5 is the fifth edition of the Diagnostic and Statistical Manual of Mental Disorders, which is used by most U.S. professionals to diagnose and classify psychological disorders. It was published in 2013 and includes a total of 237 specific diagnosable disorders.","{'page': 584, 'sections': 'vision'}"
31,32,"to determine if there are meaningful differences between the groups. Psychologists report their research findings in peer-reviewed journal articles. Research published in this format is checked by several other psychologists who serve as a filter separating ideas that are supported by evidence from ideas that are not. Replication has an important role in ensuring the legitimacy of published research. In the long run, only those findings that are capable of being replicated consistently will achieve consensus in the scientific community. 2.4Ethics Ethics in research is an evolving field, and some practices that were accepted or tolerated in the past would be considered unethical today. Researchers are expected to adhere to basic ethical guidelines when conducting experiments that involve","Ethics is an important aspect of psychological research as it ensures that the research conducted is done in a responsible and ethical manner. Researchers are expected to adhere to basic ethical guidelines when conducting experiments that involve human subjects. This includes obtaining informed consent from participants, ensuring their privacy and confidentiality, and minimizing any potential harm or discomfort. Ethics also plays a role in determining the validity and reliability of research findings, as unethical practices can lead to biased or inaccurate results. Ultimately, ethical considerations are crucial in maintaining the integrity and credibility of the scientific community.","{'page': 58, 'sections': 'analyzing findings'}"
32,33,"16 1 • Introduction to Psychology LINK TO LEARNING View a briefvideo of Carl Rogers describing his therapeutic approach(http://openstax.org/l/crogers1)to learn more. The Cognitive Revolution Behaviorism’s emphasis on objectivity and focus on external behavior had pulled psychologists’ attention away from the mind for a prolonged period of time. The early work of the humanistic psychologists redirected attention to the individual human as a whole, and as a conscious and self-aware being. By the 1950s, new disciplinary perspectives in linguistics, neuroscience, and computer science were emerging, and these areas revived interest in the mind as a focus of scientific inquiry. This particular perspective has come to be known as the cognitive revolution (Miller, 2003). By 1967, Ulric Neisser","The cognitive revolution in psychology refers to a shift in focus from behavior and the environment to the mental processes and internal experiences of individuals. It emerged in the 1950s and was influenced by new disciplinary perspectives in linguistics, neuroscience, and computer science, which revived interest in the mind as a focus of scientific inquiry. This perspective emphasized the importance of understanding how individuals process and interpret information, how they make decisions, and how they solve problems. The cognitive revolution led to new approaches in psychology, such as cognitive psychology and cognitive-behavioral therapy.","{'page': 9, 'sections': 'history of psychology'}"
33,34,"formed the foundation for the subsequent development of a feminist psychology that attempted to be free of the influence of male cultural biases on our knowledge of the psychology of women. Crawford & Marecek (1989) identify several feminist approaches to psychology that can be described as feminist psychology. These include re-evaluating and discovering the contributions of women to the history of psychology, studying psychological gender differences, and questioning the male bias present across the practice of the scientific approach to knowledge. Multicultural And Cross-Cultural Psychology Culture impacts individuals, groups, and society. An ongoing issue researchers are trying to correct is that certain populations have been over-studied and the results of these studies have been","Feminist psychology is a branch of psychology that attempts to be free of the influence of male cultural biases on our knowledge of the psychology of women. It includes re-evaluating and discovering the contributions of women to the history of psychology, studying psychological gender differences, and questioning the male bias present across the practice of the scientific approach to knowledge.","{'page': 10, 'sections': 'history of psychology'}"
34,35,"References 731 dependence: A meta-analysis of randomized controlled trials.Alcohol and Alcoholism, 36(6), 544–552. Sue, D. W. (2001). Multidimensional facets of cultural competence.Counseling Psychologist, 29(6), 790–821. Sue, D. W. (2004). Multicultural counseling and therapy (MCT). In J. A. Banks and C. Banks (Eds.),Handbook of research on multicultural education(2nd ed., pp. 813–827). Jossey-Bass. Sue, D. W., & Sue, D. (2007).Counseling the culturally different: Theory and practice(5th ed.). Wiley. Sussman, L. K., Robins, L. N., & Earls, F. (1987). Treatment–seeking for depression by Black and White Americans.Social Science & Medicine, 24, 187–196. Szasz, T. S. (1960). The Myth of Mental Illness.American Psychologist, 15, 113–118. Thomas, K. C., & Snowden, L. R. (2002). Minority","Multicultural psychology is a field of study within psychology that examines the impact of culture on psychological development and well-being. It seeks to understand how cultural factors influence psychological processes and how individuals from diverse cultural backgrounds can be effectively counseled and treated. Multicultural psychology is concerned with the intersections of culture and psychology, and with the unique challenges and opportunities that arise when working with clients from diverse backgrounds. It draws on a range of theoretical and research perspectives, including cognitive psychology, social psychology, sociology, anthropology, and critical race theory.","{'page': 724, 'sections': 'vision'}"
35,36,"Diagnostic and Statistical collectivistic culture 402 Cortisol 494 Manual of Mental Disorders color vision 157 Counseling psychology 25 126 comorbid disorders 623 counterconditioning 609 Diagnostic and Statistical comorbidity 543,623 Couples therapy 620 Manual of Mental Disorders Companionate love 435 Creative intelligence 229 (DSM-5) 542 Compliance 422 Creativity 230 diathesis-stress model 547 components of emotion 343 critical or sensitive period 296 diathesis-stress models 567 Compulsions 555 cross-sectional research 47 difference threshold 146 computerized tomography (CT) Crystallized intelligence 228 Diffusion of responsibility 432 scan 95 cues 159 discontinuous 282 Conception 293 cultural competence 623 Discrimination 423,424,424, Concepts 215 cultural display rule 350","Cross-cultural psychology is a field of study that focuses on the psychology of different cultures. It is a challenging field because cultures can differ in many ways, including their beliefs, values, attitudes, behaviors, and attitudes towards mental health. Diagnostic and Statistical Manual of Mental Disorders is a standardized system of diagnosing and treating mental disorders, but it may not be applicable to all cultures. Cross-sectional research, which is a common method of studying cross-cultural psychology, can be limited because it only provides a snapshot of cultural differences at one point in time. Additionally, cultural display rules, which are rules for displaying emotions and behaviors in a particular culture, can make it difficult to interpret cross-cultural data. Finally, mental health stigma and discrimination can also pose challenges for cross-cultural psychology research.","{'page': 727, 'sections': 'vision'}"
36,37,"a period of time stress process whereby an individual perceives and responds to events that one appraises as overwhelming or threatening to one’s well-being stressors environmental events that may be judged as threatening or demanding; stimuli that initiate the stress process Type A psychological and behavior pattern exhibited by individuals who tend to be extremely competitive, impatient, rushed, and hostile toward others Type B psychological and behavior pattern exhibited by a person who is relaxed and laid back Summary 14.1What Is Stress? Stress is a process whereby an individual perceives and responds to events appraised as overwhelming or threatening to one’s well-being. The scientific study of how stress and emotional factors impact health and well-being is called health psychology,","Stress in psychology refers to a period of time where an individual perceives and responds to events that they appraise as overwhelming or threatening to their well-being. This can be caused by stressors, which are environmental events that may be judged as threatening or demanding, and can initiate the stress process. There are two main psychological and behavior patterns that can cause stress: Type A and Type B. Type A individuals tend to be extremely competitive, impatient, rushed, and hostile toward others, while Type B individuals are relaxed and laid back. The scientific study of how stress and emotional factors impact health and well-being is called health psychology.","{'page': 523, 'sections': 'emotion'}"
37,38,"stage of psychosexual development is a period known as thelatency period(6 years to puberty). This period is not considered a stage, because sexual feelings are dormant as children focus on other pursuits, such as school, friendships, hobbies, and sports. Children generally engage in activities with peers of the same sex, which serves to consolidate a child’s gender-role identity.","The stages of psychosexual development are oral, anal, phallic, latency, and genital. The latency period is from 6 years to puberty.","{'page': 360, 'sections': 'emotion'}"
38,39,"well-designed research can be improved by the revisions suggested. Peer review also ensures that the research is described clearly enough to allow other scientists toreplicateit, meaning they can repeat the experiment using different samples to determine reliability. Sometimes replications involve additional measures that expand on the original finding. In any case, each replication serves to provide more evidence to support the original research findings. Successful replications of published research make scientists more apt to adopt those findings, while repeated failures tend to cast doubt on the legitimacy of the original article and lead scientists to look elsewhere. For example, it would be a major advancement in the medical field if a published study indicated that taking a new","Replication in psychological research is important for several reasons. Firstly, it allows for the verification of the original findings. If a study's findings can be consistently replicated, it suggests that the results are valid and reliable. This is crucial in ensuring that researchers are making accurate conclusions and that their findings can be trusted. Additionally, replication can help to refine the methods used in the original study, leading to more accurate results. Finally, replication can also help to identify potential flaws or limitations in the original study, which can be addressed in future research. Overall, replication is an essential part of the scientific process, and it plays a critical role in advancing our understanding of psychological phenomena.","{'page': 50, 'sections': 'analyzing findings'}"
39,40,16.2 • Types of Treatment 607 Various Psychotherapy Techniques Type Description Example Talk therapy based on belief that the Psychodynamic unconscious and childhood conflicts impact Patient talks about their past psychotherapy behavior Psychoanalytical therapy wherein interaction Patient (child) acts out family scenes with Play therapy with toys is used instead of talk; used in child dolls therapy Patient learns to overcome fear of elevators Behavior Principles of learning applied to change through several stages of relaxation therapy undesirable behaviors techniques Cognitive Awareness of cognitive process helps patients Patient learns not to overgeneralize failure therapy eliminate thought patterns that lead to distress based on single failure Cognitive- Work to change cognitive,16.2 • Types of Treatment 607 Various Psychotherapy Techniques,"{'page': 600, 'sections': 'learning'}"
40,41,"3.2 • Cells of the Nervous System 83 Neurotransmitters and Drugs There are several different types ofneurotransmittersreleased by different neurons, and we can speak in broad terms about the kinds of functions associated with different neurotransmitters (Table 3.1). Much of what psychologists know about the functions of neurotransmitters comes from research on the effects of drugs in psychological disorders. Psychologists who take abiological perspectiveand focus on the physiological causes of behavior assert that psychological disorders like depression and schizophrenia are associated with imbalances in one or more neurotransmitter systems. In this perspective, psychotropic medications can help improve the symptoms associated with these disorders.Psychotropic medicationsare drugs that","The role of neurotransmitters in mental health is that they are associated with imbalances in one or more neurotransmitter systems, which may cause psychological disorders such as depression and schizophrenia. Psychotropic medications can help improve the symptoms associated with these disorders by affecting neurotransmitter systems.","{'page': 76, 'sections': 'cells of the nervous system'}"
41,42,"13 • Summary 481 Summary 13.1What Is Industrial and Organizational Psychology? The field of I-O psychology had its birth in industrial psychology and the use of psychological concepts to aid in personnel selection. However, with research such as the Hawthorne study, it was found that productivity was affected more by human interaction and not physical factors; the field of industrial psychology expanded to include organizational psychology. Both WWI and WWII had a strong influence on the development of an expansion of industrial psychology in the United States and elsewhere: The tasks the psychologists were assigned led to development of tests and research in how the psychological concepts could assist industry and other areas. This movement aided in expanding industrial psychology to",Major themes in industrial-organizational psychology include the use of psychological concepts to aid in personnel selection and the study of how human interaction affects productivity.,"{'page': 474, 'sections': 'language'}"
42,43,"12.2 • Self-presentation 407 Social Norms As discussed previously, social roles are defined by a culture’s shared knowledge of what is expected behavior of an individual in a specific role. This shared knowledge comes from social norms. Asocial normis a group’s expectation of what is appropriate and acceptable behavior for its members—how they are supposed to behave and think (Deutsch & Gerard, 1955; Berkowitz, 2004). How are we expected to act? What are we expected to talk about? What are we expected to wear? In our discussion of social roles we noted that colleges have social norms for students’ behavior in the role of student and workplaces have social norms for employees’ behaviors in the role of employee. Social norms are everywhere including in families, gangs, and on social media","Social norms, as defined, are a group's expectation of what is appropriate and acceptable behavior for its members. These expectations dictate how individuals in a group are supposed to behave and think. Social norms play a significant role in behavior, influencing how individuals perceive, interpret, and respond to the world around them. They help to shape our beliefs, attitudes, and values, and often act as a guide to what is considered appropriate or desirable behavior in a given context.","{'page': 400, 'sections': 'lifespan development'}"
43,44,"of self TABLE12.2 12.5Prejudice and Discrimination LEARNING OBJECTIVES By the end of this section, you will be able to: • Define and distinguish among prejudice, stereotypes, and discrimination • Provide examples of prejudice, stereotypes, and discrimination • Explain why prejudice and discrimination exist Human conflict can result in crime, war, and mass murder, such as genocide. Prejudice and discrimination often are root causes of human conflict, which explains how strangers come to hate one another to the extreme of causing others harm. Prejudice and discrimination affect everyone. In this section we will examine the definitions of prejudice and discrimination, examples of these concepts, and causes of these biases. FIGURE12.21Prejudice and discrimination occur across the globe. (a) A","Prejudice is an irrational hatred or dislike of a particular individual or group. Discrimination, on the other hand, is the unfair treatment of an individual or group based on a characteristic such as race, gender, or religion. It occurs when the prejudice is acted upon and results in unequal treatment or unequal opportunity. Discrimination can take many forms, including verbal, nonverbal, and institutional.","{'page': 415, 'sections': 'learning'}"
44,45,"2.1 • Why Is Research Important? 37 Use of Research Information Trying to determine which theories are and are not accepted by the scientific community can be difficult, especially in an area of research as broad as psychology. More than ever before, we have an incredible amount of information at our fingertips, and a simple internet search on any given research topic might result in a number of contradictory studies. In these cases, we are witnessing the scientific community going through the process of reaching a consensus, and it could be quite some time before a consensus emerges. For example, the explosion in our use of technology has led researchers to question whether this ultimately helps or hinders us. The use and implementation of technology in educational settings has become",I don't know. The provided context does not mention any research on the Brown v. Board of Education case.,"{'page': 30, 'sections': 'why is research important?'}"
45,46,"will better serve people of all backgrounds (Women and Minorities in Psychology, n.d.). The Process of Scientific Research Scientific knowledge is advanced through a process known as thescientific method. Basically, ideas (in the form of theories and hypotheses) are tested against the real world (in the form of empirical observations), and those empirical observations lead to more ideas that are tested against the real world, and so on. In this sense, the scientific process is circular. The types of reasoning within the circle are called deductive and inductive. In deductive reasoning, ideas are tested in the real world; ininductive reasoning, real-world observations lead to new ideas (Figure 2.4). These processes are inseparable, like inhaling and exhaling, but different research","The scientific process of hypothesis testing is a systematic approach to testing a hypothesis or a claim about the relationship between variables. It involves the following steps: 1. Formulating a hypothesis or a claim, 2. Collecting data through experiments or surveys, 3. Analyzing the data, 4. Drawing conclusions based on the data, and 5. Reporting the results. The hypothesis is typically tested through the use of statistical methods to determine whether the evidence supports or rejects the hypothesis. This process is inductive in nature, as new ideas are generated from the real-world observations. The deductive process involves using the hypothesis to make predictions about the real world and then testing those predictions against the real world. These processes are inseparable, like inhaling and exhaling, but different research methods may use one process over the other depending on the research question and the type of data being collected.","{'page': 32, 'sections': 'why is research important?'}"
46,47,"methodfor acquiring knowledge is one based on observation, including experimentation, rather than a method based only on forms of logical argument or previous authorities. It was not until the late 1800s that psychology became accepted as its own academic discipline. Before this time, the workings of the mind were considered under the auspices of philosophy. Given that any behavior is, at its roots, biological, some areas of psychology take on aspects of a natural science like biology. No biological organism exists in isolation, and our behavior is influenced by our interactions with others. Therefore, psychology is also a social science. WHY STUDY PSYCHOLOGY? Often, students take their first psychology course because they are interested in helping others and want to learn more about","Psychology has many applications in education. For example, it can be used to understand and improve student motivation, to develop effective teaching methods, and to assess student learning. Additionally, psychology can help educators address issues such as classroom behavior, bullying, and learning disabilities. It can also inform the design of educational programs and policies, and the development of special education services. Overall, psychology can be a valuable tool in helping educators create a positive and effective learning environment for all students.","{'page': 1, 'sections': 'what is psychology?'}"
47,48,"15.7 • Mood and Related Disorders 561 depression, but also mania and elation (Rothschild, 1999). All of us experience fluctuations in our moods and emotional states, and often these fluctuations are caused by events in our lives. We become elated if our favorite team wins the World Series and dejected if a romantic relationship ends or if we lose our job. At times, we feel fantastic or miserable for no clear reason. People with mood disorders also experience mood fluctuations, but their fluctuations are extreme, distort their outlook on life, and impair their ability to function. FIGURE15.15Mood disorders are characterized by massive disruptions in mood. Symptoms can range from the extreme sadness and hopelessness of depression to the extreme elation and irritability of mania. (credit:","Mood disorders and personality disorders are two different types of mental health conditions. Mood disorders are characterized by massive disruptions in mood that impair a person's ability to function. Examples of mood disorders include depression and mania. Personality disorders, on the other hand, are characterized by an enduring pattern of behavior, thinking, and feeling that is inflexible and causes significant distress or impairment in social, occupational, or other important areas of functioning. Examples of personality disorders include borderline personality disorder, antisocial personality disorder, and narcissistic personality disorder. While mood disorders can cause emotional distress, they are typically short-lived and treatable with medication or therapy. Personality disorders, however, are long-lasting and often resistant to treatment.","{'page': 554, 'sections': 'language'}"
48,49,"in Korea and another in Honduras and have employees in the United States, China, and South Africa. You may have coworkers of different religious, ethnic, or racial backgrounds than yourself. Your coworkers may be from different places around the globe. Many workplaces offer diversity training to help everyone involved bridge and understand cultural differences.Diversity trainingeducates participants about cultural differences with the goal of improving teamwork. There is always the potential for prejudice between members of two groups, but the evidence suggests that simply working together, particularly if the conditions of work are set carefully that such prejudice can be reduced or eliminated. Pettigrew and Tropp (2006) conducted a meta-analysis to examine the question of whether","The evidence suggests that cultural diversity can have a positive impact on psychological research. Working together, particularly if the conditions of work are set carefully, can reduce or eliminate prejudice between members of two groups. Diversity training can also educate participants about cultural differences with the goal of improving teamwork. Therefore, cultural diversity can bring a more comprehensive understanding of human behavior and experiences, which can lead to more accurate and relevant research findings.","{'page': 467, 'sections': 'vision'}"
49,50,"1.2 • History of Psychology 9 An education in psychology is valuable for a number of reasons. Psychology students hone critical thinking skills and are trained in the use of the scientific method. Critical thinking is the active application of a set of skills to information for the understanding and evaluation of that information. The evaluation of information—assessing its reliability and usefulness— is an important skill in a world full of competing “facts,” many of which are designed to be misleading. For example, critical thinking involves maintaining an attitude of skepticism, recognizing internal biases, making use of logical thinking, asking appropriate questions, and making observations. Psychology students also can develop better communication skills during the course of their","The role of critical thinking in psychology is to hone and develop skills that are valuable in the field, such as understanding and evaluating information, maintaining an attitude of skepticism, recognizing internal biases, making use of logical thinking, asking appropriate questions, and making observations. Additionally, psychology students can develop better communication skills during the course of their studies.","{'page': 2, 'sections': 'history of psychology'}"
